FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$capture.AreYouTheContractOwner	 Qui ci si assicura che si tratta dell'owner, affinché le informazioni e decisioni siano corrette e che il caso possa essere trattato.	Confermo che lei è effettivamente il <Q>LEGAL OWNER<Q> !		Corretto	Non sicuro		
$End	Effettuare un rapporto della chiamata in un corretto wrap-up.	Ci stiamo occupando del suo caso e potremmo ricontattarla.					https://qoom.salt.ch/knowledge/handling/voice/wrap-up_for_customer_contacts
$Intro	Assicurarsi al 100 % di aver identificato l'interlocutore al telefono come il <em>proprietario legale<em> del contratto.<N><N>Proporre un rinnovo del contratto e concedere un rimoborso, anche se il cliente aveva già ricevuto in precedenza un rimborso per un billshock.<N><N> È importante essere il più comprensivi possibile e mostrare empatia se il cliente è scioccato dall'importo della fattura. <N>Se si tratta di un errore tecnico (da parte nostra), sarà rimborsato l'intero importo fatturato erroneamente, ad esempio:  <N><T>- il cliente non è stato avvertito come previsto, <N><T>- i profili sono configurati erroneamente, <N><T>- il cliente ha acquistato un pacchetto che non è stato registrato dal sistema e, di conseguenza, il suo consumo è stato fatturato per unità.	L'importo della sua fattrura l'ha stupita? <N> Non si preoccupi, valutiamo la situazione insieme.<N> Sono sicuro che troveremo una soluzione! 					https://qoom.salt.ch/knowledge/handling/ticket/create_a_ticket_for_a_compensation_request
$capture.IsCompTicketOpened	MSISDN nel formato SuperOffice<N><T>Inizia con 0<N><T>10 cifre  <N><T>Es: 0781231234	Verifico se è già stato aperto un ticket per una domanda di rimborso.		5.1.1 aperto	No ticket 5.1.1		
$ticket.TicketMobileFiveOneOne		 Devo trasmettere il suo caso a un altro dipartimento. Potremmo ricontattarla.					
$capture.HighUsageData	"Se il cliente si lamenta degli importi scioccanti su diverse fatture: inserire tutti i numeri di fattura e i relativi importi di consumo.<N> Quindi è ovvio che se si notano più numeri di fatture si dovranno inserire altrettanti importi<N>Es. OK:<N><T><T>Invoice number(s) <Q>12345678912345<Q> (1 fattura)<N><T><T>Schock amount(s) <Q>999<Q>(1 importo)<N><N><T><T>Invoice number(s) <Q>12345678912345 98765432165487<Q> (2 fatture)<N><T><T>Schock amount(s) <Q>57 66<Q>(2 importi)<N><N>Es. NON OK:<N><T><T>Invoice number(s) <Q>12345678912345<Q> (1 fattura)<N><T><T>Schock amount(s) <Q>999 555<Q> (2 importi)<N><N><T><T>Invoice number(s) <Q>12345678912345 98765432165487<Q> (2 fatture)<N><T><T>Schock amount(s) <Q>579<Q> (1 importo)<N><N>Separare i valori con uno <em>spazio<em> o i segni <em>+<em> <em>;<em> o <em>/<em><N>Es OK:<N><LQ>100 499.95100/499,95<RQ>    <LQ>100 / 499<RQ>    <LQ>100/499<RQ>    <LQ>100 + 499<Q><N><N>Es. NON OK:<N><LQ>499.955<RQ>    <LQ>100 , 499<RQ>    <LQ>100 - 499<RQ>    <LQ>100:499<RQ>    <LQ>100 $ 499<RQ> "	L'importo elevato è dovuto al consumo di dati Internet? 			No, ad altro		
$capture._HowMadeHugeAmount		In che modo ha consumato questi dati Internet?					
$capture._ElligibleForRet	Vedere in Marilyn: standard ret o eRet	Controllo se ha diritto a un eventuale rinnovo del contratto:					https://qoom.salt.ch/productservices/administration/early_retention-early_renewal
$capture._SelectPP	L'elenco contiene i costi ricorrenti più comuni. Se una tassa non è presente nell'elenco RC, scegliere semplicemente quella che si avvicina di più a quella particolare tassa.	Verifico il suo contratto					
$capture.WhatDasAboCHWish		Che tipo di comunicazione verso l'Europa e gli USA desidera effettuare?  		Chiamate e dati illimitati	Solo chiamate illimitate	Non più necessario	
$capture.WhatDasAboABWish		Che tipo di comunicazione verso l'Europa e gli USA desidera effettuare?  		Chiamate e dati illimitati	Solo chiamate illimitate	Non più necessario	
$capture.AcceptRenewalPlan	Se il rinnovo è accettato, l'intero billschok sarà rimborsato!	Possiamo proporle di rinnovare il contratto con il piano tariffario <N><em><PP><em> al prezzo speciale di <em><RC><em> al posto di <STANDARD><N>è d'accordo?		Accetta	Rifiuta		
$decide.AlternativeCompensation	In dettaglio: per calcolare il risarcimento, si divide l'importo per due: <FORMULA>	Quindi possiamo effettuare un rimborso del 50% (soit CHF <em><COMP><em>) su CHF <AMOUNT> 		Accetta	Rifiuta		
$decide.SimplComp	In dettaglio: per calcolare il risarcimento, si divide l'importo per due, limitando però l'importo da pagare a 150.-: <N><FORMULA><N><N>importo finale da pagare:<em><PAY><em>	Quindi possiamo rimborsare CHF <em> <COMP> <em> sulla somma di CHF <AMOUNT> 		Accetta	Rifiuta		
$decide.ActivateInternetEurope	In dettaglio: <FORMULA><N><N>importo finale da pagare: <em><PAY><em> per questo mese + <OPTION> x (Numero dei mesi restanti fino alla fine del contratto).	Se accetta di attivare l'opzione Internet Europe per CHF <OPTION>/mese,<N>possiamo rimborsare CHF <em><COMP><em>		Accetta	Rifiuta		
