FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.tv.sound._StoreCustomersSetup	<N><T>-TV brand and model<N><T>-Soundsystem brand and model	What is the customer's setup ?					
$flow.tv.sound._AppleTVSoundSetup	<N><T>-Audio Output<N><T>-Audio Format<N><T>-Reduce Loud Sounds<N><T>-Audio Mode	How is the Apple TV sound setup?	appletv/sound/en				
$flow.tv.sound._SaltTVDetails	<N><T>-Channels impacted<N><T>-ProgramName<N><T>-TimeAndDate	Give us more detail on how you use Salt TV when you face issues with the sound?					
$flow.tv.sound._IssueDescription	What exactly is the audio defect that the customer faces?	Describe the sound issue					
$flow.tv.sound._HowFerquent	Ask if the issue appears on all channels or a single one. Always or time to time etc…	How frequent, when does it happen?					
$flow.tv.sound.IsSameIssueWithOtherApps	Expl: with iTunes, Spotify, games etc...	Does the sound issue occurs with other apps on the Apple TV?					
$flow.tv.remote.WichRemote		Which remote type is used?		Apple TV Siri remote	Salt TV remote		
$flow.tv.remote.DoesAppleTVLedBlinks		Does the white LED on the front of the Apple TV box flash and are the icons on the TV screen moving?					
$flow.tv.remote.siri._RechargeSiriRemote		Plug the Siri remote to an iPhone compatible charging cable (Lightning cable).					
$flow.tv.remote.siri._GetCloseToAppleTV		With the remote in hand get closer to the Apple TV					
$flow.tv.remote.siri._PressMenuAndPlus		Point the Siri remote to Apple TV<N>Press MENU and + button simultaneously					
$flow.tv.remote.siri._AdviceOnSiriRemoteUSage	Open the Salt page.<N>Review the functionalities with the customer<N>Send the link to the Salt Fiber Apple TV guide	Advices on how to use the Siri remote.					https://fiber.salt.ch/fiber/equipment/apple-tv/guide
$flow.tv.remote.satltv._EnsureAppleTVInVisualRangeOfRemote		Make sure the Apple TV is in visual range with the remote					
$flow.tv.remote.satltv.DoesRedLedBlinksOnRemoteWhenPressed		Is the red LED on the remote control blinking?					
$flow.tv.remote.satltv._MakeSureBatteriesCoerrectlyInstalled		Make sure the batteries are correctly inserted in the remote	tv/salttv_remote/batteries				
$flow.tv.remote.satltv.CanReplaceBatteries		Can you replace the batteries now?					
$flow.tv.remote.satltv._ReplaceBatteriesThenCallUsBack		Please replace them and call us back					
$flow.tv.remote.satltv.IsAppleTVFourthGen	Open the Apple support page<N>Check if the design and the model number match the one of Apple TV 4K or Apple TV HD	Is the Apple TV a fourth generation one?					https://support.apple.com/HT200008
$flow.tv.remote.satltv.IsLatestSaltTVAppInstalled		Is the latest Salt TV app installed?					
$flow.tv.remote.satltv._SteupSaltTVRemoteWithRegularTV		Try to set up the Salt TV remote with regular TV					
$flow.tv.remote.satltv.DoesVolumeOnTvChange		Does the volume change on the TV?					
$flow.tv.remote.satltv.WasThePurchaseDoneLessThanOnYearAgo		When did you buy the remote ?<N> More than a year ago?					
$flow.tv.remote.satltv._GoToStoreToReplace	Take the proof of purchase with you to a Salt Store.<N>The remote will be replaced	Go to a store to replace it					
$flow.tv.remote.satltv._NeedToBuyOneNew		Warranty is expired. Seems like your remote is defect. <N>You need to buy a new one.					
$flow.tv.hardware.IsAppleTVvisibleOnTVScreen	The classical Home screen, containing icons of preinstalled apps.<N>(such as App Store)	Is the Apple TV Home screen visible on the TV?	tv/tvhomescreen	Visible	Not visible		
$flow.tv.hardware._MakeSurePowerCableWellPlugged	Make sure the Power cable is well plugged in.<N>Change the wall socket if needed.	Is the Power cable plugged in properly?	tv/powercablepluggedin	Cable OK			
$flow.tv.hardware.WhiteLightLids	If powered properly the LED is steady and white 	Is the white LED (status light) on the Apple TV switched on? 	tv/statusled	Yes, white	Other		https://support.apple.com/en-gb/guide/tv/atvba38a4135/tvos
$flow.tv.hardware._CheckHDMIcnx	Check that the physical HDMI port number matches the <Q>INPUT/SOURCE<Q> type selected on the TV.<N>Replace the HDMI cable if possible.	Verify the HDMI cable connection	tv/hdmiconnection	Connection OK			https://youtu.be/3kCLLJ3m-VA?t=271 
$flow.tv.hardware._RepairProcess	Encourage the customer to do the repair registration online	The Apple TV must be repaired					https://qoof.salt.ch/de/customer-process/use_trouble/replacement_and_repair/repair_equipment_fiberbox_tvbox_accessories#salt-fiber-box-fiber-zubeh%C3%B6r-und-apple-tv-4k
$flow.tv.install.IsSaltIconVisibleOnAppleTV		Is the Salt TV app icon visible?  	tv/salttvicon	Visible	Not visible		
$flow.tv.install._OpenAppleStore		Open the App Store on the  Apple TV	appletv/apple_store/open				
$flow.tv.install.CanSeeSaltTVOnAppleStore	Type Salt in the search field	Can you see Salt TV in the store	appletv/apple_store/see_staltv_applestore				
$flow.tv.install.HasAppleId		Do you have an Apple ID (Apple account)?	appletv/apple_store/apple_id				
$flow.tv.install.CanCreateAppleAccount	Take the time with the customer to help him create the Apple ID.<N>Make sure to select Switzerland as a country.	Are you ok to create one?	appletv/apple_store/apple_id_cancreate				
$flow.tv.install.HasSwissAppleID	An Apple ID created by selecting a country other than Switzerland does not allow you to download Salt TV. 	Is the Apple ID a swiss Apple ID?	appletv/apple_store/apple_id_swiss	Swiss Apple ID	No Swiss Apple ID		
$flow.tv.install.WantToChangeToSwiss	"Customer can always revert to another country if needed later.<N>Read ""What to do before you change your country or region"" on the link below to know the conditions of changing languge of an Apple ID"	Is it allright with you to change the country of your Apple ID to Swizerland?	appletv/apple_store/apple_id_change_to_swiss				https://support.apple.com/en-us/HT201389
