FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.installation._EnsureCorrectPortPlug	<N>Sélectionner le numéro du port	Demander au client sur quel port OTO (prise) est branché le câble à fibres optiques	customer/oto/customer_reads_OTOport				
$flow.installation._EnsureNoLanLoop	Une boucle LAN (LAN Loop) est une câble qui part d'un port de la box et revient directement sur un autre port	S'assurer qu'il n'y a pas de boucle LAN	box/lanloop				
$flow.installation.IsOTOidAligned	Demander au client de lire le N° OTO à haute voix.<N> Saisir l'OTO ID dans le champ ci-dessus<N><N>P. ex. :  <b>A.123.456.789.9<b>	Le numéro OTO (sur la prise du client) est le même que celui dans VTI ?	customer/oto/customer_reads_OTOid				
$flow.installation.OTOPlugDamagedNotClicking	Le câble Fiber sur la prise ne tient pas bien (pas de <LQ>click<RQ> lorsqu'on l'enfonce)	La prise OTO est endommagée ?	customer/oto/damaged_oto				
$flow.installation._CheckSFP	Essayer de <b>ne pas trop faire manipuler le SFP<b>. Juste vérifier que :<N><T>- Le levier bleu est vers le haut.<N><T>- Le SFP est bien enfoncé jusqu'à la butée. 	S'assurer que le SFP enferme correctement le câble Fiber	box/sfp/badgood				https://qoof.salt.ch/fr/customer-process/use_trouble/internet/led_fiber_off_red#raccordez-tous-les-c%C3%A2bles-selon-la-vid%C3%A9o
$flow.installation._RemoveMultiplePowerSocket	Si la box est branchée sur un multiprise, brancher directement sur la prise murale.<N>Essayer sur une autre prise murale.	Vérifier les branchements de la prise électrique					
$flow.activation._SendCustomerBAckToStore	Proposer au client de retourner au Store.<N> Ne pas insister.	Noter les coordonnées du Store					https://qoof.salt.ch/customer-process/discover/salt_company_info/stores_adress_list
$flow.activation.SendTicketToTLPool	Le TL va contacter Fabien et Bart	Collecte les infos et vas vers ton TL.					
$flow.activation.IsFiberOrMultisurf		Est-ce bien un contrat Fiber ou MultiSurf ?		Fiber	MultiSurf		
$flow.activation.WhereWasOrderDone		Où s'est faite la commande ?		En ligne ou porte à porte	Dans un Store		https://qoom.salt.ch/customer-process/discover/salt_company_info/stores_adress_list
$flow.activation._GetAdresAndElligibility		Vérifier l'adresse et la disponibilité de la fibre optique de Salt	activation/verrif_eligibility				https://qoof.salt.ch/fr/customer-process/discover/services/availability_check#dans-les-salt-stores-par-le-service-client%C3%A8le
$flow.activation.ActivationDoneEnd	Suite à un problème technique votre commande s'est perdue dans nos systèmes, nous allons vous contacter dans les heures qui suivent.	Fin	general/end				
$flow.activation.HaveStoreReciept		Fiber a été souscrit dans un Salt store.<N>Le client a gardé le ticket de caisse avec lui ?		Souscription au store	Souscription en ligne		
$flow.installation.IsOtoPortWrong	Sinon, demandez au client de le brancher sur le bon port. <N><em>Et ne le touchez plus jamais.<em>	Est-ce que le numéro de port (1, 2, 3, 4) sur la prise OTO du client est identique à celui dans VTI ?	box/oto/Correctplugen	Le port était le bon	Mauvais port		
$flow.installation.IsOTODamagedByCust	Si la prise est endommagée, un technicien se rendra sur place.<N><b>Ce service sera facturé<b><N>environ CHF 250.-<N><N>Si le client n'assume pas la responsabilité des dégâts, nous poursuivrons la procédure de dépannage pour voir si le problème réside pas ailleurs.	La prise OTO a-t-elle été endommagée par le client ?		Oui, frais acceptés		Non	
