FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.nointernet.fiberbox.BoxLedStatus	"Après le redémarrage, attendre que la séquence des LED se stabilise.<N>Puis, sélectionner le statut de chaque LED en appuyant sur le bouton radio au-dessus de la LED<N>Si la LED Power clignote en rouge/vert, cela signifie que la box est en train de mettre à jour son firmware ; attendre quelques minutes et s'assurer que le client ne manipule pas la box avant que la mise à jour ne soit terminée.<N><Q>Clignotement = Les LEDs clignotent<Q><N><N>Ici on met l'attention sur les 3 premières LEDs (POWER, FIBER and WWW). Si le redémarrage ne s'est pas déroulé de façon normale, alors le statut des autres LEDs sera important aussi (clignotant ou pas)<N><N>Pour LAN <Q>Normal<Q> = seulement si un câble LAN est branché, la LED devrait s'allumer et clignoter, reflétant ainsi le trafic de données en cours"	Quel est le statut des LED sur la BOX ?	box/led_status/all				
$flow.nointernet.vti._TroubleShootActivation	Vérifier dans VTI si le paiement des frais d'activation est enregistré.<N><N>Vérifier si l'OTO ID est (correctement) indiquée.<N><N>Vérifier s'il ne s'agit pas d'un cas de <Q>Plug in use<Q>.	Suivre la procédure de troubleshooting d'activation dans Qoof					https://qoof.salt.ch/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dire au client que la connexion de fibre optique fonctionne correctement					
$flow.nointernet.customer.ConnectionType	LAN ou WiFi	Sur quel type de réseau est connecté l'appareil du client ?		LAN	WiFi		
$flow.nointernet.customer.FiberCableChanged	Vérifier dans VTI -> Vie du client et dans SuperOffice -> Cases -> 6. Nouveau câble de fibre optique (envoi par poste).<N>Demander au client de confirmer qu'il a bien reçu le câble par poste ou qu'il en a cherché un dans un Store.<N><N>CLIQUER <b>Pas de ticket <LQ>câble<RQ><b> si Internet a fonctionné après avoir essayé le nouveau câble.	Le câble de fibre optique a-t-il été changé récemment, <N>mais internet ne fonctionne toujours pas? 		Oui (ticket SO)	Pas de ticket <LQ>câble<RQ>	dans un Store (ticket SO)	
$flow.nointernet.customer.FiberCableIsSalt		Le câble de fibre optique provient de Salt ?					
$flow.nointernet.customer.InstallationOk	<T> - Numéro OTO correct sur la prise<N><T> - Numéro correct du port OTO utilisé<N><T> - Câble de fibre connecté avec le levier bleu (placé vers le haut)<N><T> - Câble d'alimentation connecté	L'installation est OK ?	box/blueleverup				https://qoof.salt.ch/knowledge/technical/modem_router/checking_the_fiber_box_connection|https://youtube.com/watch?v=z9aL-arjRJw&t=105s
$flow.nointernet.so.tckets._WrongOTO	Un ticket [511] sera automatiquement généré lors du passage à l'étape suivante. Ne pas créer manuellement un ticket (SuperOffice). Une copie du contenu sera envoyée à ta boîte e-mail.<N><N>Informer que :<N><T>- un ticket technique sera transmis à notre département technique pour une analyse approfondie.<N><T>- il pourrait être contacté.<N><T>- il recevra un retour dès que possible.<N><T> - <em>la box doit être alimentée par courant électrique (230V) et branchée à une prise (SFP, fibre optique, OTO) durant toute la durée de traitement d'un ticket.<em>	Création automatique d'un ticket [511] dans SuperOffice					
$flow.nointernet.fiberbox._RebootBox	(débrancher et rebrancher le câble d'alimentation)<N>Les techniciens de 2e et 3e niveau pourront voir si le redémarrage a vraiment été effectué par le client. Il est donc important de sélectionner la bonne réponse.	Redémarrer la Box Fiber	box/reboot/reboot	Redémarrage FAIT	Redémarrage pas possible		https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#d%C3%A9marrage
$flow.nointernet.fiberbox._SpeedAndStability	Suivre procédure Speed et stabilité	Valeurs RX hors norme ?					https://qoof.salt.ch/customer-process/use_trouble/internet/slow_internet
