FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$test							
$flow.stability.WasREbootDone		Nous allons tester ensemble la vitesse de votre connexion.<N>Commençons par redémarrer la box.		Reboot fait	Reboot pas fait		
$flow.stability.HasWifiDevice	Pour cette série de test il est important de tester toutes les configurations possibles	Nous allons essayer de faire les tests de débit avec un appareil WiFi, <N>en avez-vous un ?					
$flow.stability._WhatToolItOccursWith		Avec quel type d'appareil ?					
$flow.stability._WhitWhatKindOfSite		Avec quel type de site ?		Swiss	International	Tous	
$flow.stability._AtWhatTimeDoesItOccurs		Dans quelle tranche horaire le problème survient ?					
$flow.stability._WhenDidItStart		Quand cela a commencé ?					
$flow.stability._WhatIsTheSlowIssue		De quel type de problème s'agit-il ?		Les pages chargent lentement	Les pages ne chargent pas du tout	La vitesse est plus lente qu'avant	
$flow.stability._BadOutstandingFlows	Reboot Box<N>Suivre la séquence de LED pour voir si tout est OK, puis ouvrir la console d'administration de la box.<N>Saisir les valeurs RX/TX.	Les flux sont exceptionnellement lents					https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#v%C3%A9rification-des-s%C3%A9quences
$flow.stability._CNXallGooodMan	Voir Qoof : <Q>Argumentaire - Perception de lenteur de la connexion Internet<Q>.	La connexion fonctionne normalement					https://qoof.salt.ch/knowledge/technical/wording_tips/wording_poor_internet_speed
$flow.stability._OpenSpeedTest	<T>- depuis l'Apple TV dans les apps<N><T>- Depuis le navigateur d'un ordi en LAN : https://salt.speedtest.net<N><T>- Sur un appareil mobile en lançant l'app<N><T>- Sur un appareil mobile en lançant https://salt.speedtest.net depuis un navigateur web	Ouvrir Speedtest sur votre appareil					https://salt.speedtest.net
$flow.stability._RedoTestAndWthOtherNTW	2,4Ghz <-> 5Ghz	Refaire les tests sur l'autre réseau WiFi					
$flow.stability._SelectSaltServer	<T>- depuis l'Apple TV dans les apps<N><T>- Depuis le navigateur d'un ordinateur en LAN : https://salt.speedtest.net<N><T>- Sur un appareil mobile en lançant l'app<N><T>- Sur un appareil mobile en lançant https://salt.speedtest.net depuis un navigateur web <N><N>Pressez le bouton GO au milieu de l'écran<N>Patientez ~30s que les<N>calculs se fassent<N>Répéter une ou deux fois<N><N>NOTER:<N><T>- <b>device<b> = Le modèle de l'appareil précis (p.ex. iPad 5ème génération ou Huawei P9 )<N><T>- <b>downlaod<b> = La valeur DOWNLOAD<N><T>- <b>upload<b> = La valeur UPLOAD<N><N>Si vous avez effectué le test plusieurs fois, notez une seule valeur moyenne	Sélectionner le serveur Salt	flow/stability/-SelectSaltServer				
$flow.stability.ValuesOverEighty	Les valeurs supérieures ou égales à 80 Mbps = la connexion fonctionne parfaitement.	Valeurs DOWNLOAD supérieures ou égales à 80 Mbps ?		plus de 80 Mbps	moins de 80 Mbps		https://qoof.salt.ch/fr/customer-process/getstarted/test_internet/test_upload_and_download_speed#en-lan
$flow.stability.ValuesOverTwenty	Les valeurs supérieures ou égales à 20 Mbps = la connexion fonctionne parfaitement.	Valeurs DOWNLOAD supérieures ou égales à 20 Mbps?		plus de 20 Mbps	moins de 20 Mbps		https://qoof.salt.ch/fr/customer-process/getstarted/test_internet/test_upload_and_download_speed#en-wifi
$flow.stability._CreateSOTechModemSpeed	Un ticket [525] sera automatiquement généré lors du passage à l'étape suivante (une copie du contenu sera envoyée à ta boîte e-mail). Ne pas créer de ticket manuellement (SuperOffice).<N><N>Informer que :<N><T>- un ticket technique sera transmis à notre service technique pour une analyse approfondie.<N><T>- le client pourrait être contacté.<N><T>- il recevra un feedback dès que possible.<N><T>- <em>la box doit être alimentée en permanence par courant électrique (230V) et branchée à une prise (SFP, Fibre, OTO) pendant toute la durée de traitement d'un ticket.<em>	Création automatique du ticket [525] dans SuperOffice					
$flow.stability.HasLANDevice		Vous pouvez connecter un appareil en LAN ? 					
$flow.stability.HasAppleTV	Il est préférable d'effectuer les tests d'abord avec une connexion LAN.<N>Ceci permettra de comparer les vitesses<N><N>Par la suite, les tests seront effectués sur les réseaux WiFi 2.4Ghzet 5Ghz	Quelle est votre configuration ?		Apple TV + Swiss AppleID	Pas d'Apple TV	Apple TV mais pas de Swiss AppleID 	
$flow.stability.IsAnyServiceImpactedForNormalUse	Exemples<N><T>- Arrêt du flux de streaming vidéo<N><T>- Impossibilité d'utiliser une application de réseau social<N><T>- Interruption d'appels téléphoniques<N><T>- Certains pages Internet ne s'ouvrent jamais<N><T>- Etc... <N><N>Si le client n'est pas empêché d'utiliser les services normalement, <N>mais qu'il trouve que la connexion devrait être plus rapide (car la publicité dit 10Gbs), répondre <em>NON</em>.<N>En répondant <em>OUI</em> un ticket sera créé.	Est-ce que le problème de stabilité vous empêche d'utiliser un service normalement ?					
$flow.stability._ShareAdviceOptimalWifi	Donner au client des conseils pour obtenir une connexion WiFi optimale.<N><T>- redémarrez régulièrement votre Fiber Box afin de permettre au système de se mettre à jour et de rester stable (la dernière version du firmware est téléchargée lors du démarrage de la Fiber Box).<N><T>- placez la Fiber Box à un endroit central de votre logement.<N><T>- ne placez pas la Fiber Box derrière, sous ou sur le téléviseur ni à côté d’un objet métallique ou à proximité d’un aquarium.<N><T>- placez la Fiber Box en position horizontale et, si possible, en hauteur.<N><T>- utilisez des répéteurs Wi-Fi pour couvrir les zones éloignées de votre Fiber Box.	Permettez-moi de partager avec vous quelques bonnes pratiques pour une configuration WiFi optimale	flow/stability/conseils_FR				
$flow.stability._TestSpeed	Demander au client de répéter l'action qui a posé problème et qui l'a amené à nous appeler<N><T>-  application se bloque en streaming<N><T>- chargement des pages lent<N><T>- etc.	Testons maintenant si vous rencontrez les mêmes problèmes de performance		Même problème	Plus de problème		
$flow.stability._RedoTestWithAnotherDevice		Tester la vitesse avec un autre appareil		Ça a l'air bon maintenant	Toujours pareil	Pas pu tester d'autre appareil	
