FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$hello.world	Hallo zusammen! 						
$flow.all.customer.HowManyDevicesAreConnected		Wie viele Geräte sind an die Box angeschlossen?					
$flow.TutoOne	Was <LQ>abgebildet<RQ> ist:<N><T>Ich habe keine Internet Verbindung<C><N><T>TroubleShoot WiFi<C><N><T>TroubleShoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>TroubleShot stability<C><N><T>Eskalation (Recaller)<C><N><T>MiFi<C><N><T>Power Kabel<C>	Hilfe bei der Entscheidung					
$flow.TutoTwo							
$flow.all.customer._SendTechMail	Die Erstellung des Tickets über die folgende S.O. Vorlage bestätigen:<N><T>4.Salt Fiber -> 3.Salt Fiber Technical -> 4.Acknowledgement -> 03.Technical cases Open Front - correspondence.	Eine E-Mail senden					
$flow.all.fiberbox._LoopResetFiberBox	(Reset)<N><N>Drücken Sie den Reset-Button auf der Rückseite Ihrer Salt Fiber Box mit einer Büroklammer oder einem ähnlichen spitzen Gegenstand.<N><N>Halten Sie den Button 10 Sekunden lang gedrückt.<N><N>Falls die Router-Einstellungen geändert wurden, müssen sie in der Verwaltungskonsole neu definiert werden.<N><N>Die Standard-Login-Daten (Passwort / Benutzername) sind admin / admin.<N><N>Die Synchronisationsphase ist abgeschlossen, sobald die LEDs FIBER, WWW und WLAN wieder leuchten und nicht mehr blinken.	Die Fiber Box auf die Werkseinstellungen zurücksetzen	box/box-reset	Zurücksetzung erfolgt	Zurücksetzung unmöglich		https://qoof.salt.ch/de/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings
$flow._AddMemoVti		Eine Notiz in VTI hinzufügen	vti/addnotede				
$flow.End	Click >> to start a new trouble shooting session	End	ui/tutoKeyboardDE				
$flow.TutoTree	Die Prozedur befolgen :<N><T>- entweder durch Anklicken der Schaltflächen,<N><T>- oder mit der Tastatur (wie auf dem Bild nebenan)<N><N>Auf einigen Seiten befindet sich das folgende Symbol, unter dem detaillierte Anleitungen zu finden sind:<N><T>- Qoof-Seiten<N><T>- YouTube-Videos<N><T>- andere Webseiten<N><T>- usw. ...	Allgemeine Anleitungen	ui/tutoKeyboardDE				https://qoof.salt.ch
$flow.Intro	Der Kunde kontaktiert uns und beschwert sich, dass:<N><T>- er keine Verbindung zum Internet herstellen kann (<em>z.B. Sicherstellen, dass der Kunde die Box bei sich zu Hause hat<em>),<N><T>- er Probleme beim Fernsehen hat, <N><T>- er sein Material (Fiber Box) nicht erhalten hat.<N><N><b>Damit wir die Fehlersuche fortsetzen können, muss der Kunde zu Hause sein und physisch Zugang zur Box haben<b>	Ich habe ein Problem mit meinem Salt Produkt…<N>TV / Material-Lieferung / Internetverbindung	customer/intro	Internet funktioniert nicht	TV funktioniert nicht richtig	Fiber Box nicht erhalten	
$flow.all.customer.IsSlowOrKaput	Nichts funktioniert: <em>Funktioniert gar nicht<em><N>Das Herunterladen dauert länger als erwartet: <em>Langsam<em><N>Manchmal stoppt das Streaming für eine Weile, oder die Seiten werden schnell geladen und bleiben dann hängen: <em>Unterbrechungen<em> 	Auf welches Problem stossen Sie?		Ist langsam	Funktioniert gar nicht	Intermittierende Unterbrechungen	
$flow.all.customer.LanOrWiFi	Entsprechend der Art der vom Kunden verwendeten Verbindung	Wenn das Problem auftritt, ist das Gerät über LAN oder WiFi angeschlossen?	box/lan_or_wifi	WiFi	LAN	BEIDE	
$flow.all.customer.WhithWhichDevice	<LQ>Any device<RQ> wählen, wenn alle Geräte betroffen sind	Mit welchem Typ von Gerät haben Sie dieses Problem?					
$flow.all.customer._ExplainMainSteps	"Erkl: ""Haben Sie einen kleinen Moment Geduld, denn ich werde:<N><T>- Das Konto überprüfen, um den Status zu analysieren<N><T>- Prüfen, ob für diesen Fall kein Ticket geöffnet ist<N><T>- Prüfen, ob kein technischer Fehler vorhanden ist, der das Problem verursachen könnte."	Informiert den Kunden über die nächsten Schritte					
$flow._MajorUpdate	Basierend auf <b>euren Rückmeldungen<b> haben wir den Ablauf und die App der Fehlerbehebung verbessert:<N><T>- Viele Schritte vereinfacht<N><T>- Keine Erfassung der RX-Werte mehr<N><T>- Keine Geschwindigkeitstests mehr<N><T>- Prüfen, ob das Glasfaserkabel ausgetauscht wurde, bevor die Installation überprüft wird.<N><N> Bald <N> <T>- Fehlerbehebung bei TV-Fernbedienung.<N> <T>- Fehlerbehebung bei TV-Ton.<N> <T>- Verbesserte grafische Erläuterungen 	Wichtiges Update!					
$flow.all.customer._ExplainMainSteps	<N><T>- Überprüft das Konto, um den Status zu analysieren<N><T>- Prüft, ob für diesen Fall kein Ticket geöffnet ist<N><T>- Prüft, ob kein technischer Fehler vorhanden ist, der die Ursache des Problems sein könnte	Den Kunden über die nächsten Schritte informieren					
$flow.all.customer.EverWorkedBefore	Hier unterscheiden wir zwischen <Q>Fulfillment<Q> und <Q>Assurance<Q>.	Hat es zuvor funktioniert?		Ja, konnte es zuvor benutzen.	Nein, nie.		
