flag	HEADER
$capture._SelectPPPricePlan	Preisplan
$capture._SelectPPRC	Monatsgebühr (RC)
$capture._ElligibleForRetSubscriptiontype	Abo-Typ
$capture._ElligibleForRetRetentionelligibility	Vertragsverlängerung
$capture._ElligibleForRetSimOnly	SIM only
$capture._ElligibleForRetDevice	Mit Gerät
$capture._ElligibleForRetStandard	Standard
$capture._ElligibleForReteRet	eRet
$capture._ElligibleForRetNotelligible	Nicht berechtigt
$capture._HowMadeHugeAmountHow	Wie
$capture._HowMadeHugeAmountch	In der Schweiz
$capture._HowMadeHugeAmountab	Zone AB
$capture._HowMadeHugeAmountcdef	Zone CDEF
$capture._HowMadeHugeAmountsat	Zone SAT
$capture._HowMadeHugeAmountsurfv2	Mit Surf V2
$capture.IsCompTicketOpenedMSISDN	MSISDN
$capture.IsCompTicketOpenedSOticket	S.O.-Ticket-Nr.
$capture.IsCompTicketOpenedContactPhone	Kontaktnummer
$capture.IsCompTicketOpenedemail	Kontakt-E-Mail-Adresse
$capture.HighUsageDataBA	Rechnungskonto
$capture.HighUsageDataInvoicesNbers	Rechnungsnr.
$capture.HighUsageDataSchockAmnounts	Schockierender Betrag/Schockierende Beträge
