FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.nointernet.fiberbox.BoxLedStatus	"Nach dem Neustart warten, bis die LED-Sequenz stabil ist.<N>Dann den Status jeder LED anwählen durch Drücken des Schaltknopfs (Radio-Button) darüber<N>Wenn die Power-LED rot/grün blinkt, bedeutet das, dass die Box gerade die Firmware aktualisiert; ein paar Minuten warten und sich vergewissern, dass der Kunde keine weiteren Änderungen an der Box vornimmt, bis die Aktualisierung abgeschlossen ist.<N><Q>Blink = LED blinkt<Q><N><N>Hier liegt der Fokus auf den ersten 3 LEDs (POWER, FIBER und WWW). Falls der Neustart nicht normal verläuft, ist auch der Status der anderen LEDs von Bedeutung (blinkend oder nicht)<N><N>Für LAN <Q>Normal<Q> = nur, wenn ein LAN-Kabel eingesteckt ist, sollte die LED aufleuchten und blinken und so anzeigen, dass Datenverkehr stattfindet"	Was ist der Status der LED auf der BOX?	box/led_status/all				
$flow.nointernet.vti._TroubleShootActivation	In VTI überprüfen, ob die Zahlung der Aktivierungsgebühr gebucht ist.<N><N>Prüfen, ob die Angaben zur OTO-ID angegeben und korrekt sind.<N><N>Prüfen, ob es sich nicht um einen <Q>Plug in use<Q>-Fall handelt.	Den Qoof-Troubleshooting-Prozess bei der Aktivierung befolgen					https://qoof.salt.ch/de/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dem Kunden mitteilen, dass mit dem Glasfaseranschluss alles richtig funktioniert					
$flow.nointernet.customer.ConnectionType	LAN oder WiFi	An was ist das Gerät des Kunden angeschlossen?		LAN	WiFi		
$flow.nointernet.customer.FiberCableChanged	Überprüfung in VTI -> Kundenereignis-Protokolle und in SuperOffice -> Cases -> 6. Neues Glasfaserkabel (Sendung per Post).<N>Vom Kunden bestätigen lassen, dass er das neue Kabel per Post erhalten oder in einem Store geholt hat.<N><N>KLICKT <b>Kein <LQ>Kabel<RQ>-Ticket<b>, falls die Internetverbindung mit dem neuen Kabel funktioniert.	Wurde das Glasfaserkabel kürzlich ausgetauscht, <N>aber die Internetverbindung funktionierte trotzdem nicht?		Ja (SO-Ticket)	Keine <LQ>Kable<RQ> ticket	in einem Store (SO-Ticket)	
$flow.nointernet.customer.FiberCableIsSalt		Ist das Glasfaserkabel ein Salt Kabel?					
$flow.nointernet.customer.InstallationOk	<T> - Korrekte OTO-Nummer auf der Steckdose<N><T> - Korrekte OTO-Portnummer benutzt<N><T> - Glasfaserkabel mit dem blauen Hebel (nach oben gestellt) verbunden<N><T> - Stromkabel angeschlossen	Ist die Installation in Ordnung?	box/blueleverup				https://qoof.salt.ch/de/knowledge/technical/modem_router/checking_the_fiber_box_connection|https://youtube.com/watch?v=UFBwdVRnc-E&t=105
$flow.nointernet.so.tckets._WrongOTO	Ein Ticket [511] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten.<N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- <em>die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.<em>	Automatische Ticket-Erstellung [511] in SuperOffice 					
$flow.nointernet.fiberbox._RebootBox	(Das Stromkabel aus- und wieder einstecken).<N>Techniker des 2. und 3. Levels können sehen, ob der Kunde die Box wirklich neu gestartet hat. Daher ist es wichtig, dass ihr die richtige Antwort auswählt.	Die Fiber Box neu starten	box/reboot/reboot	Neustart GEMACHT	Neustart nicht möglich		https://qoof.salt.ch/de/knowledge/technical/modem_router/boot_led_sequence#startphase
$flow.nointernet.fiberbox._SpeedAndStability	Den Prozess Geschwindigkeit und Stabilität befolgen.	Ungewöhnliche RX-Werte?					https://qoof.salt.ch/de/customer-process/use_trouble/internet/slow_internet
