FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.tv.sound._StoreCustomersSetup	<N><T>-TV-Marke und Modell<N><T>-Soundsystem Marke und Modell	Welche Einrichtung hat der Kunde?					
$flow.tv.sound._AppleTVSoundSetup	<N><T>-Audioausgabe<N><T>-Audioformat<N><T>-laute Töne reduzieren<N><T>-Audiomodus	Wie ist die Sound-Einstellung des Apple TV?					
$flow.tv.sound._SaltTVDetails	<N><T>-Betroffene Sender<N><T>-ProgramName<N><T>-TimeAndDate	Erzählen Sie uns mehr darüber, wie Sie Salt TV nutzen, wenn Sie Probleme mit dem Ton haben?					
"					"							
$flow.tv.sound._IssueDescription	Was genau ist die Audio-Störung, mit der der Kunde konfrontiert ist?	Beschreiben Sie das Tonproblem					
$flow.tv.sound._HowFerquent	Fragen, ob das Problem bei allen Sendern oder nur bei einem einzigen auftaucht. Immer oder gelegentlich etc.	Wie häufig, wann geschieht es?					
$flow.tv.sound.IsSameIssueWithOtherApps	Bsp.: mit iTunes, Spotify, Spielen usw.	Tritt das Tonproblem bei anderen Apps auf dem Apple TV auf?					
$flow.tv.remote.WichRemote		Welcher Fernbedienungstyp wird genutzt?		Siri Remote (Apple)	Salt TV Remote		
$flow.tv.remote.DoesAppleTVLedBlinks		Leuchtet die weisse LED vorne auf der Apple TV Box und bewegen sich die Icons auf dem Fernsehbildschirm?					
$flow.tv.remote.siri._RechargeSiriRemote		Schliessen Sie die Siri-Fernbedienung an ein iPhone-kompatibles Ladekabel an (Lightning-Kabel).					
$flow.tv.remote.siri._GetCloseToAppleTV		Kommen Sie mit der Fernbedienung in der Hand näher an das Apple TV					
$flow.tv.remote.siri._PressMenuAndPlus		Richten Sie die Siri-Fernbedienung auf das Apple TV und<N>drücken Sie gleichzeitig die Tasten MENÜ und +.					
$flow.tv.remote.siri._AdviceOnSiriRemoteUSage	Die Salt Seite öffnen.<N>Die Funktionalitäten mit dem Kunden zusammen anschauen<N>Den Link zur Salt Fiber Apple TV-Anleitung senden	Ratschläge zur Benutzung der Siri-Fernbedienung.					https://fiber.salt.ch/fiber/equipment/apple-tv/guide
$flow.tv.remote.satltv._EnsureAppleTVInVisualRangeOfRemote		Stellen Sie sicher, dass die Fernbedienung in Reichweite des Apple TV liegt					
$flow.tv.remote.satltv.DoesRedLedBlinksOnRemoteWhenPressed		Blinkt die rote LED auf der Fernbedienung?					
