FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.lan._CreateLanIssueTicket	'- Ein Ticket [521] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten.<N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- <em>die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.<em>'	Automatische Ticket-Erstellung [521] in SuperOffice 					
$flow.lan._RemoveAllCablesConnectedToBox	Und die Tests wiederholen	Alle anderen Kabel entfernen					
$flow.lan._SwapEthernetCable	Und die Tests wiederholen	Mit einem anderen Ethernet-Kabel testen					
$flow.lan.CanCheckWithAppleTVorOtherDevice	Mit Apple TV wenn verfügbar, wenn nicht, mit einem anderen Gerät im LAN versuchen.	Ist es möglich, mit einem anderen Gerät zu probieren?		Apple TV o. anderes LAN-Gerät	Kein anderes LAN-Gerät		
$flow.lan.ConnectDirectToFiberbox		Das Gerät über LAN direkt mit der Box verbinden	box/lan/switch_no				
$flow.lan.ConnectedViaSwitch	(nicht direkt an der Box)	Das Gerät wird über einen Ethernet-Switch angeschlossen?	box/lan/switch				
$flow.lan.LanConnectionOK	"Google.com überprüfen, nach etwas wie ""Salt"" suchen und prüfen, ob Ergebnisse angezeigt werden.<N><N>Wenn der Kunde computerbewusst ist, soll er auch überprüfen, ob das Betriebssystem zeigt, dass die Ethernet-Verbindung in Ordnung ist"	Funktioniert die LAN-Verbindung?	box/lan/lan_ok				
$flow.lan._SwapEthernetPort	Versuchen Sie einen anderen Port <b> 1 Ghz<b>	An einem anderen Ethernet-Port testen	box/lan/lan				
$flow.wifi._ConteactDeviceSupport		Den technischen Support des Geräts kontaktieren					
$flow.wifi._CreateTicketWifiIssue	Ein Ticket [522] wird automatisch generiert, wenn der nächste Schritt erreicht wird. Erstelle nicht manuell (SuperOffice) eines. Eine Kopie des Inhalts wird an deine Mailbox geschickt.<N><N>Informieren, dass:<N><T>- ein technisches Ticket zur weiteren Abklärung an unseren technischen Dienst weitergeleitet wurde.<N><T>- wir ihn kontaktieren könnten.<N><T>- er so schnell wie möglich ein Feedback erhalten wird.<N><T>- <em>die Box während des gesamten Lebenszyklus des Tickets bei ihm immer mit Strom versorgt (230V) und angeschlossen (SFP, Fiber, OTO) sein muss.<em>'	Automatische Ticket-Erstellung [522] in SuperOffice 					
$flow.wifi._ResetWifiParams	WiFi auf Geräten vergessen<N>Das Geräte-Hilfe-Tool verwenden, sollte der Kunde Hilfe benötigen.	Die WiFi-Einstellungen des Geräts auf die Werkseinstellungen zurücksetzen					https://salt.ch/de/device-help/
$flow.wifi._RestartDevice		Das Gerät neu starten					
$flow.wifi._SwitchOnUsingButton	Während 2 Sekunden	Die Taste auf der Vorderseite drücken	box/box-front-wlan				
$flow.wifi._SwitchOnWifiFromAdminConsole	"Einen Browser öffnen: die Adresse 192.168.1.1 eingeben<N><N> Benutzername und Passwort eingeben (standardmässig admin / admin).<N><N> Die Ansicht von <Q>Standard<Q> auf <Q>Expert<Q> wechseln.<N><N> Unter <Q>WLAN<Q> zu der Registerkarte ""Combined view"" gehen.<N><N> Sicherstellen, dass unter dem Netzwerk des angeschlossenen WLAN-Frequenzbands neben dem Feld SSID <Q>ON<Q> aktiviert angezeigt wird."	Über den Admin der Box die 2 WiFis aktivieren					https://qoof.salt.ch/de/knowledge/technical/modem_router/turn_on_off_wifi_in_the_admin_console
$flow.wifi.CanConnectToBoxWithLAN	Erklärt dem Kunden, dass wir versuchen, seine Internet-Verbindung mit einem Gerät über LAN zu testen.	Ist es möglich, Ihre Internet-Verbindung über LAN zu testen?		Testen wir die LAN-Verbindung!		LAN funktioniert gut	
$flow.wifi.ErrorIconOnWifiIcon		Fehler beim WiFi-Symbol des Geräts?					
