FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$hello.world	Bonjour monde !						
$flow.all.customer.HowManyDevicesAreConnected		Combien d'appareils sont connectés à la Box ?					
$flow.TutoOne	Ce qui est <LQ>mappé<RQ>:<N><T>J'ai pas internet<C><N><T>Troubleshoot WiFi<C><N><T>Troubleshoot LAN<C><N><T>Swap Fiber cable<C><N><T>Collection path<C><N><T>Activation issue<C><N><T>Troubleshoot stability<C><N><T>Escalation (Recaller)<C><N><T>MiFi<C><N><T>Power cable<C>	Aide à la décision					
$flow.TutoTwo							
$flow.all.customer._SendTechMail	Confirmer la création du ticket via le modèle SO suivant :<N><T>4. Salt Fiber -> 3. Salt Fiber Technical -> 4. Acknowledgement -> 03. Technical cases Open Front - correspondence.	Envoyer un email					
$flow.all.fiberbox._LoopResetFiberBox	(Reset)<N><N>Pressez le bouton <Q>Reset<Q> à l’arrière de la Salt Fiber Box à l’aide d’un trombone ou d’un objet pointu similaire.<N><N>Maintenez la touche enfoncée pendant 10 secondes.<N><N>Si les paramètres du routeur ont été modifiés, ils doivent être redéfinis dans la Console d'administration.<N><N>Le mot de passe et le nom d'utilisateur par défaut sont admin / admin.<N><N>La phase de synchronisation est finie dès que les LEDs FIBER, WWW et WLAN s'allument à nouveau et cessent de clignoter.	Faire une remise aux réglages d'usine de la Fiber Box	box/box-reset	Reset effectué	Reset pas possible		https://qoof.salt.ch/customer-process/configure/admin_console/reset_the_fiber_box_to_factory_settings
$flow._AddMemoVti		Ajouter une note dans VTI	vti/addnotefr				
$flow.End	Avancer pour lancer une nouvelle session de troubleshooting	Fin	ui/tutoKeyboardFR				
$flow.TutoTree	Suis la procédure en :<N><T>- en cliquant sur les boutons ou<N><T>- en utilisant le clavier (comme sur l'image ci-contre).<N><N>En mode training, clique sur le radar à droite pour désactiver la création automatique de tickets.<N><N>Dans certaines pages tu trouveras l'icône suivante sous laquelle tu trouveras des instructions plus détaillées<N><T>- Pages Qoof<N><T>- Vidéos YouTube<N><T>- Autres pages internet<N><T>- Etc...	Instructions générales	ui/tutoKeyboardFR				https://qoof.salt.ch
$flow.Intro	Le client nous contacte se plaignant de <N><T>- ne pas arriver à se connecter à Internet (<em>vérifier que la Box est bien chez lui<em>).<N><T>- avoir des soucis à regarder la télé.<N><T>- n'a pas reçu son matériel (Fiber Box)	J'ai un souci avec mon produit Salt…<N>TV / Livraison du matériel / Connection internet	customer/intro	Internet ne marche pas	TV fonctionne pas bien	Pas reçu la Box Fiber	
$flow.all.customer.IsSlowOrKaput	Rien ne fonctionne : <em>Ne marche pas du tout<em><N>Les téléchargements prennent plus de temps qu'espéré : <em>Lent<em><N>Parfois le streaming s'arrète un temps, ou bien des pages chargent vite, puis restent bloquées :  <em>Coupures<em>	Quel problème rencontrez vous ?		C'est lent	Ne marche pas du tout	Coupures intermittentes	
$flow.all.customer.LanOrWiFi	En fonction du type de connexion utilisé par le client. 	Quand le problème arrive, à quoi l'appareil est connecté en LAN ou WiFi ?	box/lan_or_wifi	WiFi	LAN	LES DEUX	
$flow.all.customer.WhithWhichDevice	Selectionner <LQ>Any device<RQ> si c'est avec n'importe quel appareil que les soucis surviennent 	Avec quel type d'appareil avez vous ce souci ?					
$flow.all.customer._ExplainMainSteps	"<T>- Vérifiez le compte pour analyser l'état<N><T>- Vérifiez s'il n'y a pas de ticket ouvert pour ce cas<N><T>- Vérifiez s'il n'y a pas de problème technique en suspens qui pourrait être à l'origine du problème"""	Informer le client des prochaines étapes					
$flow._MajorUpdate	Sur la base de <b>vos commentaires<b>, nous avons amélioré le flux et l'application :<N><T>- Beaucoup d'étapes simplifiées<N><T>- Plus de captures de valeurs RX<N><T>- Plus de tests de vitesse<N><T>- Vérifier que le câble de fibre a été changé avant de vérifier l'installation<N><N> Bientôt <N> <T>- Explications graphiques améliorées 	Mise à jour majeure !	general/feedbacks				
$flow.all.customer._ExplainMainSteps	<T>- Vérifiez le compte pour analyser l'état<N><T>- Vérifiez s'il n'y a pas de ticket ouvert pour ce cas<N><T>- Vérifiez s'il n'y a pas de problème technique en suspens qui pourrait être à l'origine du problème	Informer le client des prochaines étapes					
$flow.all.customer.EverWorkedBefore	Nous faisons ici la distinction entre <Q>fulfillment<Q> et <Q>assurance<Q>.	Cela a fonctionnait avant ?		Oui, il pouvait l'utiliser avant	Jamais		
