FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$End	Faire le rapport de l'appel dans un wrap-up comme il se doit.	Votre cas est en cours de traitement et qu'il se peut que vous soyez contacté.					https://qoom.salt.ch/knowledge/handling/voice/wrap-up_for_customer_contacts
$Intro	<N>Nous proposons un renouvellement du contrat et accordons une compensation, même si le client avait auparavant déjà reçu une compensation pour un billshock.<N><N>Il est important de rester le plus compréhensif possible et montrer notre empathie lorsque le client est choqué par le montant facturé.<N>S'il s'agit d'une erreur technique (de notre part) par exemple : <N><T>- le client n’a pas été averti comme attendu, <N><T>- les profils sont mal configurés, <N><T>- il a acheté un bundle mais que le système l’a ignoré et facturé à l’unité.	Vous êtes choqué par le montant de votre facture ?<N>Qu'à cela ne tienne, nous allons étudier ensemble la situation.<N>Je suis sûr que nous allons trouver une solution !					https://qoom.salt.ch/knowledge/handling/ticket/create_a_ticket_for_a_compensation_request
$capture.IsCompTicketOpened	MSISDN au format SuperOffice<N><T>Commence par 0<N><T>10 chiffres  <N><T>Expl: 0781231234	Je regarde si un ticket de demande de compensation est déjà ouvert.			Pas de ticket 5.1.1		
$ticket.TicketMobileFiveOneOne		Je dois transmettre votre cas à un autre département. Il se peut que vous soyez contacté.					
$capture.HighUsageData	Dans <Q>Shocking amount<Q> on ne note que le montant de consommation élevé	Est-ce que ce montant élevé est dû a une consommation de données internet ?  			Non autre		
$capture.HowMadeHugeAmount		Par quel biais avez-vous consommé ces données ? 					
$capture.ElligibleForRet	Voir dans Marilyn : standard ret ou eRet	Je regarde si vous êtes éligible pour un éventuel renouvellement de contrat :					https://qoom.salt.ch/productservices/administration/early_retention-early_renewal
$capture._SelectPP	La liste contient les RC les plus courantes. Si la RC en question n'est pas dans la liste, alors on choisit la plus proche ci-dessous.	Je regarde votre situation contractuelle					
$capture.WhatDasAboCHWish		Quel type d'utilisation vers EU & USA souhaiteriez-vous ?  		Appels et data illimitées	Appels illimités seulement	Plus besoin	
$capture.WhatDasAboABWish		Quel type d'utilisation vers EU & USA souhaiteriez-vous ?  		Appels et data illimitées	Appels illimités seulement	Plus besoin	
$capture.AcceptRenewalPlan		Nous pouvons vous proposer un renouvellement de contrat avec le plan tarifaire <N><em><PP><em> au prix spécial de <RC> au lieu de <STANDARD><N>OK pour vous ?		Accepte	Refuse		
$decide.AlternativeCompensation	En détail : pour calculer la compensation, on divise le montant par deux : <FORMULA>	Nous pouvons alors vous faire une compensation de 50% (soit CHF <COMP>) sur CHF <AMOUNT> 		Accepte	Refuse		
$decide.SimplComp	En détail : pour calculer la compensation, on divise le montant par deux, mais on le limite à maximum CHF 150.- le montant à payer : <N><FORMULA><N><N>à payer au final :<em><PAY><em>	Nous pouvons alors vous faire une compensation de CHF <COMP> sur la somme de CHF <AMOUNT> 		Accepte	Refuse		
$decide.ActivateInternetEurope	En détail : <FORMULA><N><N>à payer au final : <em><PAY><em> pour ce mois + <OPTION>*(Nombre de mois restant jusqu'à la fin du contrat).	Si vous acceptez d'activer l'option Internet Europe pour CHF <OPTION>/mois,<N>nous pouvons compenser CHF <COMP>		Accepte	Refuse		
$hello.world	DETAILS	TITLE	ILLUSTRATION			MID-BTN	QOOK
