FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.tv.sound._StoreCustomersSetup	<N><T>-Marque et modèle de télévision<N><<T>-Marque et modèle de système de son	Quelle est la configuration du client ?					
$flow.tv.sound._AppleTVSoundSetup	<N><T>-Sortie audio<N><T>-Format audio<N><T>-Diminuer les sons forts<N><T>-Mode audio	Comment le son de l'Apple TV est-il réglé ?					
$flow.tv.sound._SaltTVDetails	<N><T>-Canaux concernés<N><T>-Nom du programme<N><T>-HeureEtDate	Donnez-nous plus de détails sur la façon dont vous utilisez Salt TV lorsque vous êtes confronté à un problème de son					
$flow.tv.sound._IssueDescription	Quel est exactement le défaut audio auquel le client est confronté	Décrivez le problème de son					
$flow.tv.sound._HowFerquent	Demandez si le problème se produit sur toutes les chaînes ou sur une seule et s'il survient tout le temps ou seulement de temps à autre, etc.	Quelle est la fréquence du problème et quand se produit-il ?					
$flow.tv.sound.IsSameIssueWithOtherApps	P. ex. : avec iTunes, Spotify, les jeux etc...	Le problème de son se produit-il avec d'autres applications sur l'Apple TV ?					
$flow.tv.remote.WichRemote		Avec la télécommande, est-ce le cas ?		Télécommande Apple TV Siri	Télécommande Salt TV		
$flow.tv.remote.DoesAppleTVLedBlinks		La LED blanche sur la face avant de l'Apple TV box clignote et les icônes à l'écran bougent ?					
$flow.tv.remote.siri._RechargeSiriRemote		Branchez la télécommande Siri sur un câble de chargement compatible iPhone (câble Lightning).					
$flow.tv.remote.siri._GetCloseToAppleTV		Approchez-vous de l'Apple TV avec la télécommande en main					
$flow.tv.remote.siri._PressMenuAndPlus		Pointer la télécommande Siri vers l'Apple TV<N>Appuyer simultanément sur les touches MENU et +.					
$flow.tv.remote.siri._AdviceOnSiriRemoteUSage	Ouvrez la page Salt.<N>Parcourez les fonctionnalités avec le client.<N>Envoyez-lui le lien vers le guide Salt Fiber Apple TV.	Conseils sur l'utilisation de la télécommande Siri.					https://fiber.salt.ch/fiber/equipment/apple-tv/guide
$flow.tv.remote.satltv._EnsureAppleTVInVisualRangeOfRemote		Assurez-vous que l'Apple TV se trouve dans le champ d'action de la télécommande (dans la zone de portée infrarouge)					
$flow.tv.remote.satltv.DoesRedLedBlinksOnRemoteWhenPressed		La LED rouge clignote-t-elle sur la télécommande ?					
$flow.tv.remote.satltv._MakeSureBatteriesCoerrectlyInstalled		Vérifiez que les piles sont correctement insérées dans la télécommande	tv/salttv_remote/batteries				
$flow.tv.remote.satltv.CanReplaceBatteries		Pouvez-vous remplacer les piles maintenant ?					
$flow.tv.remote.satltv._ReplaceBatteriesThenCallUsBack		Veuillez les remplacer et nous rappeler					
