FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.installation._EnsureCorrectPortPlug	<N>Selezionare il numero di porta	Chiedere al cliente su quale porta OTO (presa) è collegato il cavo in fibra ottica	customer/oto/customer_reads_OTOport				
$flow.installation._EnsureNoLanLoop	Un anello LAN (LAN Loop) è un cavo che parte da una porta del box e che finisce direttamente in un'altra porta	Assicurarsi che non ci sia un anello LAN	box/lanloop				
$flow.installation.IsOTOidAligned	Chiedere al cliente di leggere il numero OTO ad alta voce.<N>Inserire l'ID OTO nel campo qui sopra<N><N>Es.:  <b>A.123.456.789.9<b>	L'OTO ID (sulla presa del cliente) è lo stesso di quello in VTI?	customer/oto/customer_reads_OTOid	Uguale	Sbagliato		
$flow.installation.OTOPlugDamagedNotClicking	Il cavo in fibra sulla spina non tiene bene (nessun <LQ>click<RQ> quando viene premuto)	La spina OTO è danneggiata?	customer/oto/damaged_oto				
$flow.installation._CheckSFP	Cercare di <b>non far manipolare troppo l'SFP<b>. Basta assicurarsi che: <N><T>- La leva blu è in alto. <N><T>- Il SFP è spinto fino in fondo.	Assicurarsi che l'SFP racchiuda correttamente il cavo Fiber	box/sfp/badgood				https://qoof.salt.ch/fr/customer-process/use_trouble/internet/led_fiber_off_red#raccordez-tous-les-c%C3%A2bles-selon-la-vid%C3%A9o
$flow.installation._RemoveMultiplePowerSocket	Se il box è collegato a una presa multipla, attaccarlo direttamente alla presa murale.<N>Provare con un'altra presa murale	Controllare l'attacco della presa elettrica					
$flow.activation._SendCustomerBAckToStore	Proporre al cliente di ritornare al negozio.<N> Non insistere.	Annotare le coordinate dello store					https://qoof.salt.ch/customer-process/discover/salt_company_info/stores_adress_list
$flow.activation.SendTicketToTLPool	Il TL contatterà Fabien e Bart	Raccogli le informazioni e rivolgiti al tuo TL.					
$flow.activation.IsFiberOrMultisurf		Si tratta di un contratto Fiber o Multi Surf ?		Fiber	Multi Surf		
$flow.activation.WhereWasOrderDone		Dov'è stato fatto l'ordine?	activation/SST-door-online	Online o porta a porta	In uno Store		https://qoom.salt.ch/customer-process/discover/salt_company_info/stores_adress_list
$flow.activation._GetAdresAndElligibility		Verificare l'indirizzo e la disponibilità della fibra ottica	activation/verrif_eligibility				https://qoof.salt.ch/fr/customer-process/discover/services/availability_check#dans-les-salt-stores-par-le-service-client%C3%A8le
$flow.activation.ActivationDoneEnd	A causa di un problema tecnico, la sua richiesta è andata persa nei nostri sistemi. Sarà contattato nelle prossime ore.	Fine	general/end				
$flow.activation.HaveStoreReciept		Fiber è stato sottoscritto in un Salt store.<N>Il cliente ha tenuto lo scontrino?		Ordine in uno Store	Ordine online		
$flow.installation.IsOtoPortWrong	Se no, chiedere al cliente di collegarlo alla porta corretta. <em>E di non toccarlo più.<em>	La presa OTO (1, 2, 3, 4) del cliente è la stessa in VTI?	box/oto/Correctplugen	La porta era giusta	La porta era sbagliata		
$flow.installation.IsOTODamagedByCust	Se la presa è danneggiata, un tecnico si recherà sul posto.<N><b>Questo servizio sarà addebitato<b><N>circa CHF 250.-.<N><N>Se il cliente non si assume la responsabilità del danno, continueremo la procedura di troubleshooting per verificare se il problema non sia altrove.	La presa OTO è stata danneggiata dal cliente?		Sì, costi accettati		No	
