FLAG	DETAILS	TITLE	ILLUSTRATION	RIGHT-BTN	LEFT-BTN	MID-BTN	QOOK
$flow.nointernet.fiberbox.BoxLedStatus	"Dopo il riavvio attendere che la sequenza si stabilizzi.<N>Selezionare quindi lo stato di ogni LED con i pulsanti radio sopra<N>Se il LED POWER lampeggia rosso/verde significa che il Box sta aggiornando il firmware; attendere un paio di minuti e assicurarsi che il cliente non lo manipoli fino a quando l'aggiornamento non è finito.<N><Q>Blink = il LED lampeggia<Q><N><N>L'attenzione qui è sui primi 3 primi LED (POWER, FIBER e WWW). Se c'è un avvio anomalo allora lo stato degli altri LED (se lampeggiano o no sarà importante)<N><N>Per LAN <Q>Normale<Q> = solo se un cavo LAN è collegato al LED dovrebbe accendersi e lampeggiare riflettendo il traffico dati."	Qual è lo stato dei LED sul BOX?	box/led_status/all				
$flow.nointernet.vti._TroubleShootActivation	Verificare in VTI se il pagamento dei costi di attivazione sia stato registrato.<N><N>Verificare se i dettagli dell'ID OTO siano stati forniti e siano corretti.<N><N>Verificare se non si tratti di un caso di <Q>Plug in use<Q>.	Seguire la procedura Qoof troubleshooting di attivazione					https://qoof.salt.ch/customer-process/buy-receive/delivery/find_out_activation_status 
$flow.nointernet.customer._TellCustomerAllOkWithFiberCnx		Dire al cliente che funziona tutto correttamente con la connessione in fibra ottica					
$flow.nointernet.customer.ConnectionType	LAN o WiFi	Su cosa è collegato l'apparecchio del cliente?		LAN	WiFi		
$flow.nointernet.customer.FiberCableChanged	Verificare in VTI -> Eventi del cliente e in SuperOffice -> Cases -> 6. Nuovo cavo fibra (per posta).<N>Chiedere al cliente di confermare se ha ricevuto il nuovo cavo per posta o in un Store.<N><N>CLICCARE <b>Nessun ticket <LQ>cavo<RQ><b> se Internet ha funzionato dopo aver provato il nuovo cavo.	Il cavo Fiber di Salt è stato cambiato di recente, ma internet ancora non funziona?		Sì (Ticket SO) 	Nessuno <LQ>cavo<RQ> ticket	in un Store (Ticket SO)	
$flow.nointernet.customer.FiberCableIsSalt		Il cavo Fiber è di Salt?					
$flow.nointernet.customer.InstallationOk	<T>- Numero OTO corretto sulla presa<N><T> - Numero corretto della porta OTO utilizzata<N><T> - Cavo in fibra connesso con la levetta blu (verso l'alto)<N><T> - Cavo di alimentazione collegato.	L'installazione è OK?	box/blueleverup				https://qoof.salt.ch/knowledge/technical/modem_router/checking_the_fiber_box_connection|https://youtube.com/watch?v=z9aL-arjRJw&t=105s
$flow.nointernet.so.tckets._WrongOTO	Un ticket [511] sarà generato automaticamente all'avanzamento alla fase successiva. Non crearne uno manualmente (SuperOffice). Una copia del contenuto sarà inviata alla tua casella di posta elettronica.<N><N>Informare che:<N><T>- un ticket verrà trasmesso al nostro servizio tecnico per un'analisi approfondita.<N><T>- potremmo contattarlo.<N><T>- riceverà un feedback appena possibile.<N><T>- <em>il box deve restare attaccato alla presa di corrente (230V) e collegato (SFP, Fiber, OTO) durante tutta la durata del ticket.<em>	Creazione automatica del ticket [511] in SuperOffice					
$flow.nointernet.fiberbox._RebootBox	(staccare e riattaccare l'alimentazione)<N>I tecnici di 2° e 3° livello saranno in grado di vedere se il riavvio è stato realmente effettuato dal cliente. Quindi è importante selezionare la risposta corretta.	Riavviare il Fiber Box	box/reboot/reboot	Riavvio EFFETTUATO	Nessun riavvio		https://qoof.salt.ch/fr/knowledge/technical/modem_router/boot_led_sequence#d%C3%A9marrage
$flow.nointernet.fiberbox._SpeedAndStability	Seguire la procedura Speed e stabilità	Valori RX fuori dalla norma?					https://qoof.salt.ch/customer-process/use_trouble/internet/slow_internet
$flow.nointernet.fiberbox.NormalRxValues	Verificare in <LQ>VTI - Gestione dell'abbonamento - Healthcheck - Router - See History - RX<RQ> <N>Se RX è > -11 dBm, è anormale<N>o<N> se RX < -21 dBm, è anormale	I valori RX sono nella norma? (sopra -21dBm)	vti/rx-values	Sì	No		
$flow.nointernet.fiberbox.BootSequence	<T>- Fiber LED RED (steady/blinking),<N><T> - Fiber LED GREEN BLINKING,<N> WWW OFF,<N> Fiber LED OFF	La sequenza di boot è: 					
$flow.nointernet.fiberbox.FiberLedGreenStable		Com'è il LED a Fibre ?		Verde e stabile	Rosso	Lampeggiante rosso/verde	
$flow.nointernet.fiberbox.IconRedNoRX		Nessun valore RX e icona rossa?					
$flow.nointernet.so._CreateTicketModemCNX	Un ticket [521] sarà generato automaticamente all'avanzamento alla fase successiva. Non crearne uno manualmente (SuperOffice). Una copia del contenuto sarà inviata alla tua casella di posta elettronica.<N><N>Informare che:<N><T>- un ticket verrà trasmesso al nostro servizio tecnico per un'analisi approfondita.<N><T>- potremmo contattarlo.<N><T>- riceverà un feedback appena possibile.<N><T>- <em>il box deve restare attaccato alla presa di corrente (230V) e collegato (SFP, Fiber, OTO) durante tutta la durata del ticket.<em>	Creazione automatica del ticket [521] in SuperOffice					
$flow.nointernet.so._InformTicketStatus	Inserire le informazioni mancanti se annotate nel ticket.	InCom'è il LED a fibre ottiche?formare il cliente sull'avanzamento del ticket.	general/conversation				
$flow.nointernet.so.ModemConnectionTicketOpen		Esiste un ticket SO 1. Modem Connection [521] aperto?					
